DiagnosisCode,DiagnosisGrouping,DiagnosisDescription
T861,"Complications of surgical and medical care, not elsewhere classified",Kidney transplant failure and rejection
T854,"Complications of surgical and medical care, not elsewhere classified",Mechanical complication of breast prosthesis and implant
T840,"Complications of surgical and medical care, not elsewhere classified",Mechanical complication of internal joint prosthesis
T835,"Complications of surgical and medical care, not elsewhere classified","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
T833,"Complications of surgical and medical care, not elsewhere classified",Mechanical complication of intrauterine contraceptive device
T830,"Complications of surgical and medical care, not elsewhere classified",Mechanical complication of urinary (indwelling) catheter
T829,"Complications of surgical and medical care, not elsewhere classified","Unspecified complication of cardiac and vascular prosthetic device, implant and graft"
T821,"Complications of surgical and medical care, not elsewhere classified",Mechanical complication of cardiac electronic device
T814,"Complications of surgical and medical care, not elsewhere classified","Infection following a procedure, not elsewhere classified"
T813,"Complications of surgical and medical care, not elsewhere classified","Disruption of operation wound, not elsewhere classified"
T784,Other and unspecified effects of external causes,"Allergy, unspecified"
T589,Toxic effects of substances chiefly nonmedicinal as to source,Toxic effect of carbon monoxide
T509,"Poisoning by drugs, medicaments and biological substances","Poisoning, other and unspecified drugs, medicaments and biological substances"
T189,Effects of foreign body entering through natural orifice,"Foreign body in alimentary tract, part unspecified"
T181,Effects of foreign body entering through natural orifice,Foreign body in oesophagus
T179,Effects of foreign body entering through natural orifice,"Foreign body in respiratory tract, part unspecified"
T150,Effects of foreign body entering through natural orifice,Foreign body in cornea
T149,"Injuries to unspecified parts of trunk, limb or body region","Injury, unspecified"
T148,"Injuries to unspecified parts of trunk, limb or body region",Other injuries of unspecified body region
S999,Injuries to the ankle and foot,Unspecified injury of ankle and foot
S936,Injuries to the ankle and foot,Sprain and strain of other and unspecified parts of foot
S934,Injuries to the ankle and foot,Sprain and strain of ankle
S925,Injuries to the ankle and foot,Fracture of other toe
S923,Injuries to the ankle and foot,Fracture of metatarsal bone
S921,Injuries to the ankle and foot,Fracture of talus
S913,Injuries to the ankle and foot,Open wound of other parts of foot
S908,Injuries to the ankle and foot,Other superficial injuries of ankle and foot
S899,Injuries to the knee and lower leg,Unspecified injury of lower leg
S861,Injuries to the knee and lower leg,Injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level
S834,Injuries to the knee and lower leg,Sprain and strain involving (fibular)(tibial) collateral ligament of knee
S832,Injuries to the knee and lower leg,"Tear of meniscus, current"
S823,Injuries to the knee and lower leg,Fracture of lower end of tibia
S822,Injuries to the knee and lower leg,Fracture of shaft of tibia
S821,Injuries to the knee and lower leg,Fracture of upper end of tibia
S818,Injuries to the knee and lower leg,Open wound of other parts of lower leg
S810,Injuries to the knee and lower leg,Open wound of knee
S802,Injuries to the knee and lower leg,Superficial injury of lower leg
S801,Injuries to the knee and lower leg,Contusion of other and unspecified parts of lower leg
S799,Injuries to the hip and thigh,Unspecified injury of hip and thigh
S798,Injuries to the hip and thigh,Other specified injuries of hip and thigh
S729,Injuries to the hip and thigh,"Fracture of femur, part unspecified"
S728,Injuries to the hip and thigh,Fractures of other parts of femur
S724,Injuries to the hip and thigh,Fracture of lower end of femur
S722,Injuries to the hip and thigh,Subtrochanteric fracture
S721,Injuries to the hip and thigh,Pertrochanteric fracture
S720,Injuries to the hip and thigh,Fracture of neck of femur
S703,Injuries to the hip and thigh,Superficial injury of hip and thigh
S701,Injuries to the hip and thigh,Contusion of thigh
S699,Injuries to the wrist and hand,Unspecified injury of wrist and hand
S681,Injuries to the wrist and hand,Traumatic amputation of other single finger (complete)(partial)
S644,Injuries to the wrist and hand,Injury of digital nerve of other finger
S635,Injuries to the wrist and hand,Sprain and strain of wrist
S632,Injuries to the wrist and hand,Multiple dislocations of fingers
S626,Injuries to the wrist and hand,Fracture of other finger
S623,Injuries to the wrist and hand,Fracture of other metacarpal bone
S610,Injuries to the wrist and hand,Open wound of finger(s) without damage to nail
S599,Injuries to the elbow and forearm,Unspecified injury of forearm
S525,Injuries to the elbow and forearm,Fracture of lower end of radius
S522,Injuries to the elbow and forearm,Fracture of shaft of ulna
S518,Injuries to the elbow and forearm,Open wound of other parts of forearm
S499,Injuries to the shoulder and upper arm,Unspecified injury of shoulder and upper arm
S468,Injuries to the shoulder and upper arm,Injury of other muscles and tendons at shoulder and upper arm level
S462,Injuries to the shoulder and upper arm,Injury of muscle and tendon of other parts of biceps
S461,Injuries to the shoulder and upper arm,Injury of muscle and tendon of long head of biceps
S460,Injuries to the shoulder and upper arm,Injury of muscle(s) and tendon(s) of the rotator cuff of shoulder
S434,Injuries to the shoulder and upper arm,Sprain and strain of shoulder joint
S424,Injuries to the shoulder and upper arm,Fracture of lower end of humerus
S423,Injuries to the shoulder and upper arm,Fracture of shaft of humerus
S422,Injuries to the shoulder and upper arm,Fracture of upper end of humerus
S420,Injuries to the shoulder and upper arm,Fracture of clavicle
S400,Injuries to the shoulder and upper arm,Contusion of shoulder and upper arm
S399,"Injuries to the abdomen, lower back, lumbar spine and pelvis","Unspecified injury of abdomen, lower back and pelvis"
S390,"Injuries to the abdomen, lower back, lumbar spine and pelvis","Injury of muscle and tendon of abdomen, lower back and pelvis"
S341,"Injuries to the abdomen, lower back, lumbar spine and pelvis",Other injury of lumbar spinal cord
S329,"Injuries to the abdomen, lower back, lumbar spine and pelvis",Fracture of lumbar spine and pelvis
S325,"Injuries to the abdomen, lower back, lumbar spine and pelvis",Fracture of pubis
S320,"Injuries to the abdomen, lower back, lumbar spine and pelvis",Fracture of lumbar vertebra
S299,Injuries to the thorax,Unspecified injury of thorax
S273,Injuries to the thorax,Other injuries of lung
S241,Injuries to the thorax,Other and unspecified injuries of thoracic spinal cord
S224,Injuries to the thorax,Multiple fractures of ribs
S223,Injuries to the thorax,Fracture of rib
S222,Injuries to the thorax,Fracture of sternum
S204,Injuries to the thorax,Other superficial injuries of back wall of thorax
S202,Injuries to the thorax,Contusion of thorax
S199,Injuries to the neck,Unspecified injury of neck
S161,Injuries to the neck,Injury of muscle and tendon at neck level
S121,Injuries to the neck,Fracture of second cervical vertebra
S099,Injuries to the head,Unspecified injury of head
S069,Injuries to the head,"Intracranial injury, unspecified"
S065,Injuries to the head,Traumatic subdural haemorrhage
S064,Injuries to the head,Epidural haemorrhage
S060,Injuries to the head,Concussion
S026,Injuries to the head,Fracture of mandible
S022,Injuries to the head,Fracture of nasal bones
S018,Injuries to the head,Open wound of other parts of head
S015,Injuries to the head,Open wound of lip and oral cavity
S011,Injuries to the head,Open wound of eyelid and periocular area
S010,Injuries to the head,Open wound of scalp
S008,Injuries to the head,Superficial injury of other parts of head
S003,Injuries to the head,Superficial injury of nose
R972,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal results of liver function studies
R971,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal results of liver function studies
R948,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal results of function studies of other organs and systems
R945,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal results of liver function studies
R944,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal results of kidney function studies
R943,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal results of cardiovascular function studies
R940,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal results of function studies of central nervous system
R938,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of other specified body structures
R935,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis","Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
R933,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of other parts of digestive tract
R932,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of liver and biliary tract
R931,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of heart and coronary circulation
R930,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis","Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified"
R928,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of breast
R922,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of breast
R921,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of breast
R918,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of lung
R911,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Abnormal findings on diagnostic imaging of lung
R908,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",Other abnormal findings on diagnostic Imaging of central nervous system
R899,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis","Abnormal findings in specimens from other organs, unspecified abnormal finding"
R876,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis","Abnormal findings in specimens from female genital organs, abnormal cytological findings"
R838,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis","Abnormal findings in cerebrospinal fluid, other abnormal findings"
R829,"Abnormal findings on examination of urine, without diagnosis",Other and unspecified abnormal findings in urine
R809,"Abnormal findings on examination of urine, without diagnosis",Isolated proteinuria
R799,"Abnormal findings on examination of blood, without diagnosis","Abnormal finding of blood chemistry, unspecified"
R798,"Abnormal findings on examination of blood, without diagnosis",Other specified abnormal findings of blood chemistry
R788,"Abnormal findings on examination of blood, without diagnosis","Finding of other specified substances, not normally found in blood"
R761,"Abnormal findings on examination of blood, without diagnosis",Abnormal reaction to tuberculin test
R760,"Abnormal findings on examination of blood, without diagnosis",Raised antibody titre
R748,"Abnormal findings on examination of blood, without diagnosis",Abnormal levels of other serum enzymes
R740,"Abnormal findings on examination of blood, without diagnosis",Elevation of levels of transaminase and lactic acid dehydrogenase [LDH]
R739,"Abnormal findings on examination of blood, without diagnosis","Hyperglycaemia, unspecified"
R730,"Abnormal findings on examination of blood, without diagnosis",Abnormal glucose tolerance test
R718,"Abnormal findings on examination of blood, without diagnosis",Abnormality of red blood cells
R688,General symptoms and signs,Other specified general symptoms and signs
R680,General symptoms and signs,"Hypothermia, not associated with low environmental temperature"
R651,General symptoms and signs,Systemic Inflammatory Response Syndrome of infectious origin with organ failure    
R638,General symptoms and signs,Other symptoms and signs concerning food and fluid intake
R635,General symptoms and signs,Abnormal weight gain
R634,General symptoms and signs,Abnormal weight loss
R633,General symptoms and signs,Feeding difficulties and mismanagement
R625,General symptoms and signs,Lack of expected normal physiological development
R620,General symptoms and signs,Delayed milestone
R609,General symptoms and signs,"Oedema, unspecified"
R600,General symptoms and signs,Localized oedema
R599,General symptoms and signs,"Enlarged lymph nodes, unspecified"
R590,General symptoms and signs,Localized enlarged lymph nodes
R569,General symptoms and signs,"Convulsions, not elsewhere classified"
R560,General symptoms and signs,Febrile convulsions
R55,General symptoms and signs,Syncope and collapse
R538,General symptoms and signs,Malaise and fatigue
R531,General symptoms and signs,Malaise and fatigue
R52,General symptoms and signs,"Pain, not elsewhere classified"
R51,General symptoms and signs,Headache
R509,General symptoms and signs,"Fever, unspecified"
R470,Symptoms and signs involving speech and voice,Dysphasia and aphasia
R458,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Other symptoms and signs involving emotional state
R454,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Irritability and anger
R451,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Restlessness and agitation
R430,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Anosmia
R42,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Dizziness and giddiness
R418,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Other and unspecified symptoms and signs involving cognitive functions and awareness
R413,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Other amnesia
R410,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Disorientation, unspecified"
R404,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Somnolence, stupor and coma"
R402,"Symptoms and signs involving cognition, perception, emotional state and behaviour","Coma, unspecified"
R400,"Symptoms and signs involving cognition, perception, emotional state and behaviour",Somnolence
R399,Symptoms and signs involving the urinary system,Other symptoms and signs involving the urinary system
R391,Symptoms and signs involving the urinary system,Other difficulties with micturition
R350,Symptoms and signs involving the urinary system,Polyuria
R339,Symptoms and signs involving the urinary system,Retention of urine
R32,Symptoms and signs involving the urinary system,Unspecified urinary incontinence
R319,Symptoms and signs involving the urinary system,Unspecified haematuria
R312,Symptoms and signs involving the urinary system,Unspecified haematuria
R311,Symptoms and signs involving the urinary system,Unspecified haematuria
R310,Symptoms and signs involving the urinary system,Unspecified haematuria
R300,Symptoms and signs involving the urinary system,Dysuria
R298,Symptoms and signs involving the nervous and musculoskeletal systems,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems
R270,Symptoms and signs involving the nervous and musculoskeletal systems,"Ataxia, unspecified"
R269,Symptoms and signs involving the nervous and musculoskeletal systems,Abnormalities of gait and mobility
R268,Symptoms and signs involving the nervous and musculoskeletal systems,Other and unspecified abnormalities of gait and mobility
R252,Symptoms and signs involving the nervous and musculoskeletal systems,Cramp and spasm
R251,Symptoms and signs involving the nervous and musculoskeletal systems,"Tremor, unspecified"
R229,Symptoms and signs involving the skin and subcutaneous tissue,"Localized swelling, mass and lump, unspecified"
R224,Symptoms and signs involving the skin and subcutaneous tissue,"Localized swelling, mass and lump, lower limb"
R223,Symptoms and signs involving the skin and subcutaneous tissue,"Localized swelling, mass and lump, upper limb"
R222,Symptoms and signs involving the skin and subcutaneous tissue,"Localized swelling, mass and lump, trunk"
R221,Symptoms and signs involving the skin and subcutaneous tissue,"Localized swelling, mass and lump, neck"
R220,Symptoms and signs involving the skin and subcutaneous tissue,"Localized swelling, mass and lump, head"
R21,Symptoms and signs involving the skin and subcutaneous tissue,Rash and other nonspecific skin eruption
R209,Symptoms and signs involving the skin and subcutaneous tissue,Disturbances of skin sensation
R202,Symptoms and signs involving the skin and subcutaneous tissue,Paraesthesia of skin
R200,Symptoms and signs involving the skin and subcutaneous tissue,Anaesthesia of skin
R198,Symptoms and signs involving the digestive system and abdomen,Other specified symptoms and signs involving the digestive system and abdomen
R197,Symptoms and signs involving the digestive system and abdomen,Other symptoms and signs involving the digestive system and abdomen
R195,Symptoms and signs involving the digestive system and abdomen,Other faecal abnormalities
R194,Symptoms and signs involving the digestive system and abdomen,Change in bowel habit
R193,Symptoms and signs involving the digestive system and abdomen,Abdominal rigidity
R190,Symptoms and signs involving the digestive system and abdomen,"Intra-abdominal and pelvic swelling, mass and lump"
R188,Symptoms and signs involving the digestive system and abdomen,Ascites
R17,Symptoms and signs involving the digestive system and abdomen,Unspecified jaundice
R159,Symptoms and signs involving the digestive system and abdomen,Faecal incontinence
R140,Symptoms and signs involving the digestive system and abdomen,Flatulence and related conditions
R131,Symptoms and signs involving the digestive system and abdomen,Dysphagia
R112,Symptoms and signs involving the digestive system and abdomen,Nausea and vomiting
R111,Symptoms and signs involving the digestive system and abdomen,Nausea and vomiting
R110,Symptoms and signs involving the digestive system and abdomen,Nausea and vomiting
R109,Symptoms and signs involving the digestive system and abdomen,Abdominal and pelvic pain
R108,Symptoms and signs involving the digestive system and abdomen,Abdominal and pelvic pain
R103,Symptoms and signs involving the digestive system and abdomen,Pain localized to other parts of lower abdomen
R102,Symptoms and signs involving the digestive system and abdomen,Pelvic and perineal pain
R101,Symptoms and signs involving the digestive system and abdomen,Pain localized to upper abdomen
R098,Symptoms and signs involving the circulatory and respiratory systems,Other specified symptoms and signs involving the circulatory and respiratory systems
R091,Symptoms and signs involving the circulatory and respiratory systems,Pleurisy
R090,Symptoms and signs involving the circulatory and respiratory systems,Asphyxia
R079,Symptoms and signs involving the circulatory and respiratory systems,Pain in throat and chest
R078,Symptoms and signs involving the circulatory and respiratory systems,Pain in throat and chest
R072,Symptoms and signs involving the circulatory and respiratory systems,Precordial pain
R071,Symptoms and signs involving the circulatory and respiratory systems,Chest pain on breathing
R068,Symptoms and signs involving the circulatory and respiratory systems,Other and unspecified abnormalities of breathing
R062,Symptoms and signs involving the circulatory and respiratory systems,Wheezing
R060,Symptoms and signs involving the circulatory and respiratory systems,Dyspnoea
R05,Symptoms and signs involving the circulatory and respiratory systems,Cough
R048,Symptoms and signs involving the circulatory and respiratory systems,Haemorrhage from other sites in respiratory passages
R040,Symptoms and signs involving the circulatory and respiratory systems,Epistaxis
R030,Symptoms and signs involving the circulatory and respiratory systems,"Elevated blood-pressure reading, without diagnosis of hypertension"
R011,Symptoms and signs involving the circulatory and respiratory systems,"Cardiac murmur, unspecified"
R002,Symptoms and signs involving the circulatory and respiratory systems,Palpitations
R001,Symptoms and signs involving the circulatory and respiratory systems,"Bradycardia, unspecified"
R000,Symptoms and signs involving the circulatory and respiratory systems,"Tachycardia, unspecified"
Q909,"Chromosomal abnormalities, not elsewhere classified","Down's syndrome, unspecified"
Q878,Other congenital malformations,"Other specified congenital malformation syndromes, not elsewhere classified"
Q859,Other congenital malformations,"Phakomatosis, unspecified"
Q851,Other congenital malformations,Tuberous sclerosis
Q793,Congenital malformations and deformations of the musculoskeletal system,Gastroschisis
Q792,Congenital malformations and deformations of the musculoskeletal system,Exomphalos
Q782,Congenital malformations and deformations of the musculoskeletal system,Osteopetrosis
Q676,Congenital malformations and deformations of the musculoskeletal system,Pectus excavatum
Q670,Congenital malformations and deformations of the musculoskeletal system,Facial asymmetry
Q643,Congenital malformations of the urinary system,Other atresia and stenosis of urethra and bladder neck
Q600,Congenital malformations of the urinary system,"Renal agenesis, unilateral"
Q541,Congenital malformations of genital organs,"Hypospadias, penile"
Q453,Other congenital malformations of the digestive system,Other congenital malformations of pancreas and pancreatic duct
Q390,Other congenital malformations of the digestive system,Atresia of oesophagus without fistula
Q381,Other congenital malformations of the digestive system,Ankyloglossia
Q380,Other congenital malformations of the digestive system,"Congenital malformations of lips, not elsewhere classified"
Q282,Congenital malformations of the circulatory system,Arteriovenous malformation of cerebral vessels
Q273,Congenital malformations of the circulatory system,Peripheral arteriovenous malformation
Q254,Congenital malformations of the circulatory system,Other congenital malformations of aorta
Q251,Congenital malformations of the circulatory system,Coarctation of aorta
Q249,Congenital malformations of the circulatory system,"Congenital malformation of heart, unspecified"
Q240,Congenital malformations of the circulatory system,Dextrocardia
Q231,Congenital malformations of the circulatory system,Congenital insufficiency of aortic valve
Q228,Congenital malformations of the circulatory system,Other congenital malformations of tricuspid valve
Q211,Congenital malformations of the circulatory system,Atrial septal defect
P918,Other disorders originating in the perinatal period,Other specified disturbances of cerebral status of newborn
P773,Digestive system disorders of fetus and newborn,Necrotizing enterocolitis of fetus and newborn
P704,Transitory endocrine and metabolic disorders specific to fetus and newborn,Other neonatal hypoglycaemia
P700,Transitory endocrine and metabolic disorders specific to fetus and newborn,Syndrome of infant of mother with gestational diabetes
P599,Haemorrhagic and haematological disorders of fetus and newborn,"Neonatal jaundice, unspecified"
P598,Haemorrhagic and haematological disorders of fetus and newborn,Neonatal jaundice from other specified causes
P279,Respiratory and cardiovascular disorders specific to the perinatal period,Unspecified chronic respiratory disease originating in the perinatal period
P229,Respiratory and cardiovascular disorders specific to the perinatal period,"Respiratory distress of newborn, unspecified"
P221,Respiratory and cardiovascular disorders specific to the perinatal period,Transient tachypnoea of newborn
P220,Respiratory and cardiovascular disorders specific to the perinatal period,Respiratory distress syndrome of newborn
P140,Birth trauma,Birth injury to peripheral nervous system
P134,Birth trauma,Birth injury to skeleton
P081,Disorders related to length of gestation and fetal growth,Other heavy for gestational age infants
P073,Disorders related to length of gestation and fetal growth,Other preterm infants
P072,Disorders related to length of gestation and fetal growth,Extreme immaturity
P071,Disorders related to length of gestation and fetal growth,Other low birth weight
P070,Disorders related to length of gestation and fetal growth,Extremely low birth weight
P051,Disorders related to length of gestation and fetal growth,Small for gestational age
